Document_id,Review text,Sentiment_Type
11,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
12,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
13,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
14,nan,NEUTRAL
15,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
16,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
17,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
18,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
19,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
20,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
21,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
22,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
23,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
24,nan,NEUTRAL
25,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
26,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
27,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
28,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
29,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
30,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
31,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
32,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
33,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
34,nan,NEUTRAL
35,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
36,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
37,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
38,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
39,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
40,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
41,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
42,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
43,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
44,nan,NEUTRAL
45,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
46,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
47,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
48,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
49,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
50,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
51,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
52,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
53,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
54,nan,NEUTRAL
55,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
56,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
57,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
58,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
59,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
60,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
61,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
62,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
63,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
64,nan,NEUTRAL
65,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
66,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
67,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
68,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
69,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
70,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
71,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
72,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
73,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
74,nan,NEUTRAL
75,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
76,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
77,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
78,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
79,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
80,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
81,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
82,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
83,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
84,nan,NEUTRAL
85,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
86,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
87,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
88,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
89,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
90,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
91,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
92,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
93,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
94,nan,NEUTRAL
95,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
96,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
97,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
98,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
99,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
100,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
101,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
102,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
103,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
104,nan,NEUTRAL
105,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
106,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
107,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
108,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
109,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
110,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
